,Celular,Marca,cor,Ram,Hd,num_ship,Valor_real
0,"Nokia C2 Nk011 Tl 5,7   (16+16 Cartão)1Gb",Nokia,32Gb,['1gb Ram'],['32gb'],['1'],639
1,Galaxy A10S,Nokia,Preto,['2 GB RAM'],['32 GB'],['2'],839
2,E6 Play,Nokia,Cinza-Metálico,['2 GB RAM'],['32 GB'],['2'],810
3,Redmi Note 9S,Nokia,Azul,['4 GB RAM'],['128 GB'],['2'],1.735
4,Redmi 9A,Nokia,Cinza,['2 GB RAM'],['32 GB'],['2'],790
5,Galaxy A31    Prism Crush,Nokia,Black,['4 GB RAM'],['128 GB'],['2'],1.537
6,Zenfone Max Shot Zb634Kl,Nokia,Vermelho,['4 GB RAM'],['64 GB'],['2'],999
7,Galaxy A21S,Nokia,Preto,['4 GB RAM'],['64 GB'],['2'],1.440
8,Galaxy A01 Core,Nokia,Vermelho,['2 GB RAM'],['32 GB'],['2'],673
9,Galaxy A01,Nokia,Preto,['2 GB RAM'],['32 GB'],['2'],720
10,2.3    Cyan,Nokia,Green,['2 GB RAM'],['32 GB'],['2'],749
11,Poco X3 Nfc   Cobalt,Nokia,Blue,['6 GB RAM'],['128 GB'],['2'],2.020
12,K22,Nokia,Titan,['2 GB RAM'],['32 GB'],['2'],719
13,Galaxy M21S,Nokia,Azul,['4 GB RAM'],['64 GB'],['2'],1.499
14,K11+,Nokia,Preto,['2 GB RAM'],['32 GB'],['1'],749
15,Redmi Note 8 Pro,Nokia,Verde-Floresta,['6 GB RAM'],['128 GB'],['2'],1.679
16,K51S,Nokia,Titan,['3 GB RAM'],['64 GB'],['2'],1.090
17,K61,Nokia,Branco,['4 GB RAM'],['128 GB'],['2'],1.249
18,Redmi 9 (Global)   Ocean,Nokia,Green,['4 GB RAM'],['64 GB'],['2'],1.128
19,K41S,Nokia,Preto,['3 GB RAM'],['32 GB'],['2'],999
20,E Lite,Nokia,Preto,['512 MB RAM'],['32 GB'],['2'],399
21,Redmi Note 8 Pro,Nokia,Verde-Floresta,['6 GB RAM'],['64 GB'],['2'],1.550
22,G9 Plus,Nokia,Azul-Índigo,['4 GB RAM'],['128 GB'],['2'],1.895
23,F,Nokia,Café,['1 GB RAM'],['32 GB'],['2'],499
24,Zenfone Max Pro M2 Zb631Kl    Black,Nokia,Saphire,['4 GB RAM'],['64 GB'],['2'],1.189
25,Poco X3 Nfc   Shadow,Nokia,Gray,['6 GB RAM'],['64 GB'],['2'],1.694
26,E,Nokia,Preto,['512 MB RAM'],['32 GB'],['2'],420
